state_abbr,state,year,yearend,topic,question,value,datavaluetype,datavalueunit,group_type,group
NH,New Hampshire,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",23.0,Number,Number,Race/Ethnicity,Hispanic
NM,New Mexico,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",45.0,Number,Number,Sex,Male
NY,New York,2021,2021,Diabetes,Diabetes among adults,12.7,Crude Prevalence,%,Race/Ethnicity,Hispanic
NM,New Mexico,2021,2021,Diabetes,Gestational diabetes among women with a recent live birth,21.9,Crude Prevalence,%,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
MT,Montana,2021,2021,Diabetes,Diabetes among adults,18.3,Age-adjusted Prevalence,%,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
NM,New Mexico,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",41.0,Number,Number,Age,Age 45-64
NM,New Mexico,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",11.2,Crude Rate,"cases per 100,000",Age,Age 0-44
NJ,New Jersey,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",51.7,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
NM,New Mexico,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",22.0,Number,Number,Age,Age >=65
NH,New Hampshire,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",57.7,Age-adjusted Rate,"cases per 100,000",Sex,Female
NC,North Carolina,2021,2021,Diabetes,Diabetes among adults,6.5,Crude Prevalence,%,Race/Ethnicity,Hispanic
MT,Montana,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",262.9,Crude Rate,"cases per 100,000",Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
NC,North Carolina,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",138.0,Number,Number,Sex,Female
NV,Nevada,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",4.1,Age-adjusted Rate,"cases per 100,000",Overall,Overall
MT,Montana,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",100.9,Age-adjusted Rate,"cases per 100,000",Overall,Overall
MT,Montana,2021,2021,Diabetes,Diabetes among adults,8.5,Crude Prevalence,%,Race/Ethnicity,"White, non-Hispanic"
NV,Nevada,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",154.4,Crude Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
NV,Nevada,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",2623.0,Number,Number,Age,Age >=65
MT,Montana,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",128.9,Crude Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
NM,New Mexico,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",2946.0,Number,Number,Overall,Overall
NE,Nebraska,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",138.1,Crude Rate,"cases per 100,000",Race/Ethnicity,"Black, non-Hispanic"
NH,New Hampshire,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",80.9,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,Hispanic
NJ,New Jersey,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",114.8,Crude Rate,"cases per 100,000",Race/Ethnicity,"Black, non-Hispanic"
NM,New Mexico,2021,2021,Diabetes,Diabetes among adults,4.6,Crude Prevalence,%,Age,Age 18-44
NM,New Mexico,2021,2021,Diabetes,Gestational diabetes among women with a recent live birth,13.5,Crude Prevalence,%,Overall,Overall
NE,Nebraska,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",153.1,Age-adjusted Rate,"cases per 100,000",Sex,Male
NJ,New Jersey,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",43.6,Crude Rate,"cases per 100,000",Race/Ethnicity,"Asian, non-Hispanic"
NC,North Carolina,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",278.0,Number,Number,Race/Ethnicity,Hispanic
NY,New York,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",3968.0,Number,Number,Race/Ethnicity,"Black, non-Hispanic"
NV,Nevada,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",155.6,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Black, non-Hispanic"
NJ,New Jersey,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",97.0,Number,Number,Sex,Female
NY,New York,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",82.0,Number,Number,Age,Age 0-44
NJ,New Jersey,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",25.0,Number,Number,Race/Ethnicity,Hispanic
NY,New York,2021,2021,Diabetes,Diabetes among adults,13.7,Crude Prevalence,%,Race/Ethnicity,"Black, non-Hispanic"
NE,Nebraska,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",1193.0,Number,Number,Sex,Female
NC,North Carolina,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",155.3,Crude Rate,"cases per 100,000",Race/Ethnicity,"Black, non-Hispanic"
NJ,New Jersey,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",33.0,Number,Number,Race/Ethnicity,"Multiracial, non-Hispanic"
NJ,New Jersey,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",52.0,Number,Number,Race/Ethnicity,"Black, non-Hispanic"
NC,North Carolina,2021,2021,Diabetes,Diabetes among adults,11.2,Age-adjusted Prevalence,%,Sex,Female
NH,New Hampshire,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",120.2,Crude Rate,"cases per 100,000",Sex,Male
NC,North Carolina,2021,2021,Diabetes,Diabetes among adults,19.4,Crude Prevalence,%,Race/Ethnicity,"Black, non-Hispanic"
MT,Montana,2021,2021,Diabetes,Gestational diabetes among women with a recent live birth,7.4,Crude Prevalence,%,Race/Ethnicity,"White, non-Hispanic"
NM,New Mexico,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",8.1,Crude Rate,"cases per 100,000",Age,Age 45-64
NV,Nevada,2021,2021,Diabetes,Diabetes among adults,11.5,Crude Prevalence,%,Overall,Overall
NY,New York,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",62.8,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
NV,Nevada,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",2262.0,Number,Number,Race/Ethnicity,"White, non-Hispanic"
NV,Nevada,2021,2021,Diabetes,Diabetes among adults,11.3,Crude Prevalence,%,Race/Ethnicity,"Black, non-Hispanic"
